,CABLE-POP,CLASSIC,CLM5.0,DLEM,IBIS,ISAM,ISBA-CTRIP,JSBACH,JULES,LPJ-GUESS,LPX-Bern,ORCHIDEE,SDGVM,VISIT-NIES
1901,0.53936815,0.4772273,0.3341021,-1.7857156,-2.53292,0.20923643,0.39803112,0.16137312,3.1800497,0.23198733,0.6232776,3.0745566,2.6241672,-2.857272
1902,0.5555952,2.067596,0.3449992,-1.7052745,-1.1066976,0.21764214,0.3295335,0.1527342,3.3961074,0.1756013,0.6486351,3.1591773,2.8454533,-2.8626473
1903,0.66380626,-1.0508871,0.16752994,-1.9120141,-1.469588,0.28980935,0.27346006,0.16914174,3.3658705,0.38995978,0.69034284,3.3956573,2.6800404,-3.0083008
1904,0.55843294,1.063364,0.42213732,-1.838087,-1.2167478,0.23945376,0.39583442,0.14965802,3.4227788,0.2553237,0.6778563,3.3765159,2.8671849,-2.9389997
1905,0.63764936,-0.6229845,0.32133493,-1.8343303,-2.6060946,0.32427326,0.37556282,0.15418598,3.3966804,0.35373068,0.7081765,3.4127512,2.7378967,-3.0100553
1906,0.68767864,-0.22349033,0.24159503,-1.9781224,-1.815471,0.18842559,0.39781043,0.16312058,3.4239545,0.13752894,0.6776704,3.46038,2.8704658,-3.1280162
1907,0.66182524,-0.21634571,0.22176439,-1.8218799,-2.4184556,0.34582406,0.46879458,0.15510854,3.4947383,0.14434195,0.6871745,3.4183812,2.928074,-3.1257958
1908,0.69292694,-0.40641943,0.25017437,-2.0122926,-1.6479336,0.20578201,0.4984421,0.16668387,3.5555222,0.23491728,0.72708654,3.4656641,2.9269404,-3.2016108
1909,0.6167361,1.9146659,0.48573303,-2.0353677,-1.9558733,0.31807336,0.4949187,0.16736571,3.6816134,0.29605308,0.72249943,3.5232694,2.954879,-3.3145978
1910,0.6891602,0.6968505,0.51123595,-2.059845,-2.31183,0.23057999,0.5289319,0.18300758,3.5601466,0.43116376,0.76174486,3.6345012,3.0377882,-3.3594894
1911,0.69193524,0.09102973,0.36238492,-1.9519645,-2.0707374,0.3131031,0.54240483,0.15986314,3.6096826,0.25142762,0.75733376,3.596131,2.9087627,-3.345418
1912,0.5869332,0.15778942,0.4231311,-2.0995915,-2.215713,0.22296026,0.4596334,0.17752777,3.6804588,0.37064976,0.7801212,3.5735137,3.0592072,-3.4321806
1913,0.5848644,0.403806,0.51892877,-2.0237906,-1.2954345,0.37170926,0.55097777,0.1745454,3.834409,0.3229648,0.77761394,3.5336704,3.02227,-3.3904448
1914,0.6619602,0.3514326,0.35953265,-2.0222318,-1.7230731,0.21403605,0.5209313,0.1766828,3.7787397,0.38771132,0.7250339,3.7018661,3.2218297,-3.5094194
1915,0.78459275,-1.2230864,0.23566695,-2.1977105,-1.4986252,0.35541043,0.46726465,0.18788683,3.8587205,0.43138215,0.7945046,3.942938,3.5143042,-3.6042345
1916,0.77176136,1.4402076,0.49151057,-2.306487,-1.657942,0.19506665,0.5567643,0.20002706,4.0236897,0.35887486,0.8574773,3.8675742,3.4803054,-3.6843886
1917,0.88401306,0.67113084,0.37298763,-2.327914,-2.7094116,0.3191206,0.68278617,0.20816772,3.9860923,0.4805965,0.8734082,4.0316973,3.4247396,-3.725663
